week,trend
2013-09-29,15
2013-10-06,15
2013-10-13,14
2013-10-20,14
2013-10-27,14
2013-11-03,14
2013-11-10,15
2013-11-17,16
2013-11-24,12
2013-12-01,17
2013-12-08,15
2013-12-15,15
2013-12-22,10
2013-12-29,12
2014-01-05,17
2014-01-12,20
2014-01-19,18
2014-01-26,18
2014-02-02,17
2014-02-09,16
2014-02-16,17
2014-02-23,17
2014-03-02,18
2014-03-09,16
2014-03-16,19
2014-03-23,18
2014-03-30,19
2014-04-06,18
2014-04-13,15
2014-04-20,16
2014-04-27,18
2014-05-04,19
2014-05-11,17
2014-05-18,17
2014-05-25,15
2014-06-01,17
2014-06-08,18
2014-06-15,17
2014-06-22,18
2014-06-29,17
2014-07-06,19
2014-07-13,18
2014-07-20,18
2014-07-27,17
2014-08-03,18
2014-08-10,21
2014-08-17,24
2014-08-24,24
2014-08-31,25
2014-09-07,27
2014-09-14,25
2014-09-21,22
2014-09-28,23
2014-10-05,23
2014-10-12,23
2014-10-19,22
2014-10-26,23
2014-11-02,24
2014-11-09,25
2014-11-16,25
2014-11-23,21
2014-11-30,25
2014-12-07,24
2014-12-14,22
2014-12-21,16
2014-12-28,18
2015-01-04,25
2015-01-11,26
2015-01-18,26
2015-01-25,28
2015-02-01,28
2015-02-08,25
2015-02-15,24
2015-02-22,27
2015-03-01,26
2015-03-08,26
2015-03-15,25
2015-03-22,25
2015-03-29,26
2015-04-05,27
2015-04-12,27
2015-04-19,28
2015-04-26,27
2015-05-03,27
2015-05-10,28
2015-05-17,27
2015-05-24,25
2015-05-31,28
2015-06-07,26
2015-06-14,27
2015-06-21,28
2015-06-28,25
2015-07-05,27
2015-07-12,28
2015-07-19,27
2015-07-26,25
2015-08-02,29
2015-08-09,29
2015-08-16,34
2015-08-23,36
2015-08-30,37
2015-09-06,37
2015-09-13,37
2015-09-20,37
2015-09-27,37
2015-10-04,35
2015-10-11,33
2015-10-18,35
2015-10-25,34
2015-11-01,35
2015-11-08,32
2015-11-15,34
2015-11-22,30
2015-11-29,35
2015-12-06,34
2015-12-13,33
2015-12-20,24
2015-12-27,26
2016-01-03,33
2016-01-10,36
2016-01-17,40
2016-01-24,40
2016-01-31,38
2016-02-07,38
2016-02-14,35
2016-02-21,35
2016-02-28,38
2016-03-06,39
2016-03-13,37
2016-03-20,35
2016-03-27,35
2016-04-03,37
2016-04-10,37
2016-04-17,36
2016-04-24,36
2016-05-01,35
2016-05-08,39
2016-05-15,39
2016-05-22,37
2016-05-29,34
2016-06-05,39
2016-06-12,38
2016-06-19,38
2016-06-26,37
2016-07-03,38
2016-07-10,38
2016-07-17,38
2016-07-24,37
2016-07-31,38
2016-08-07,37
2016-08-14,36
2016-08-21,42
2016-08-28,48
2016-09-04,47
2016-09-11,50
2016-09-18,48
2016-09-25,48
2016-10-02,45
2016-10-09,46
2016-10-16,46
2016-10-23,46
2016-10-30,46
2016-11-06,47
2016-11-13,49
2016-11-20,45
2016-11-27,52
2016-12-04,50
2016-12-11,50
2016-12-18,43
2016-12-25,36
2017-01-01,48
2017-01-08,55
2017-01-15,57
2017-01-22,56
2017-01-29,58
2017-02-05,60
2017-02-12,53
2017-02-19,59
2017-02-26,60
2017-03-05,62
2017-03-12,58
2017-03-19,60
2017-03-26,63
2017-04-02,61
2017-04-09,56
2017-04-16,59
2017-04-23,61
2017-04-30,59
2017-05-07,62
2017-05-14,60
2017-05-21,62
2017-05-28,60
2017-06-04,61
2017-06-11,58
2017-06-18,59
2017-06-25,59
2017-07-02,57
2017-07-09,60
2017-07-16,59
2017-07-23,62
2017-07-30,61
2017-08-06,62
2017-08-13,65
2017-08-20,66
2017-08-27,69
2017-09-03,70
2017-09-10,74
2017-09-17,73
2017-09-24,73
2017-10-01,72
2017-10-08,75
2017-10-15,71
2017-10-22,75
2017-10-29,73
2017-11-05,77
2017-11-12,75
2017-11-19,67
2017-11-26,73
2017-12-03,76
2017-12-10,72
2017-12-17,64
2017-12-24,56
2017-12-31,69
2018-01-07,77
2018-01-14,79
2018-01-21,79
2018-01-28,85
2018-02-04,79
2018-02-11,77
2018-02-18,78
2018-02-25,82
2018-03-04,82
2018-03-11,80
2018-03-18,82
2018-03-25,82
2018-04-01,83
2018-04-08,81
2018-04-15,80
2018-04-22,80
2018-04-29,83
2018-05-06,82
2018-05-13,83
2018-05-20,86
2018-05-27,80
2018-06-03,84
2018-06-10,79
2018-06-17,78
2018-06-24,78
2018-07-01,76
2018-07-08,81
2018-07-15,86
2018-07-22,84
2018-07-29,86
2018-08-05,82
2018-08-12,83
2018-08-19,91
2018-08-26,93
2018-09-02,100
2018-09-09,93
2018-09-16,98
2018-09-23,93
